penjualan_id,produk_id,jumlah_terjual,tanggal_penjualan,total_harga,customer_id
1.00,4.00,83.00,2024-09-23 14:14:51,303001.42,10.00
2.00,2.00,86.00,2024-05-19 08:38:55,18033.58,20.00
3.00,9.00,70.00,2024-01-08 16:33:59,369719.35,13.00
4.00,20.00,59.00,2024-03-31 23:43:37,464547.34,8.00
5.00,15.00,21.00,2024-06-22 15:52:03,316143.35,6.00
6.00,18.00,75.00,2024-11-18 13:14:32,395832.86,3.00
7.00,10.00,82.00,2024-11-20 21:24:55,52541.43,15.00
8.00,16.00,79.00,2024-10-15 13:44:37,293808.20,5.00
9.00,19.00,10.00,2024-11-07 20:13:54,287501.80,19.00
10.00,13.00,50.00,2024-03-24 18:32:42,35052.43,7.00
11.00,11.00,59.00,2024-08-15 10:14:09,18226.19,3.00
12.00,11.00,31.00,2024-11-25 22:34:17,289447.73,8.00
13.00,13.00,79.00,2024-04-15 10:07:03,27077.62,11.00
14.00,7.00,75.00,2024-01-22 02:02:42,474113.54,2.00
15.00,3.00,85.00,2024-09-13 04:39:27,55174.87,12.00
16.00,17.00,47.00,2024-01-25 18:00:58,18165.46,18.00
17.00,14.00,34.00,2024-03-30 06:30:54,218538.62,12.00
18.00,3.00,97.00,2024-02-14 07:00:50,57654.39,12.00
19.00,1.00,82.00,2024-10-31 06:38:22,454470.49,20.00
20.00,9.00,39.00,2024-03-28 08:56:11,240751.21,17.00
