produksi_id,produk_id,jumlah_produksi,tanggal_produksi,biaya_produksi
1,13,119,2024-11-20 00:27:03,271103.45
2,6,321,2024-10-21 16:20:23,336171.35
3,14,147,2024-12-27 19:34:13,389399.36
4,13,495,2024-10-09 02:25:51,368921.83
5,9,80,2024-10-26 07:17:55,242172.99
6,9,184,2024-09-06 22:00:22,555751.11
7,16,231,2024-01-30 12:02:45,164683.32
8,13,434,2024-01-07 03:30:06,736054.64
9,18,350,2024-05-20 22:44:01,574228.63
10,16,96,2024-08-17 23:40:32,849253.02
11,10,242,2024-07-17 00:50:39,546101.94
12,14,407,2024-03-23 09:02:34,968229.11
13,18,402,2024-11-12 16:45:50,312790.75
14,5,480,2024-08-29 21:45:32,480146.91
15,11,115,2024-05-17 17:42:20,182679.54
16,18,449,2024-05-10 12:41:39,266162.2
17,2,260,2024-03-01 08:18:07,129598.51
18,7,456,2024-08-17 19:54:30,505965.57
19,15,468,2024-12-26 00:01:44,523394.49
20,5,454,2024-10-21 10:52:02,442721.64
